yearmon	eis	epu	epuori
1985-12-31	100.20149566873349	100.15379637915355	99.71753735568451
1986-12-31	99.80510517232797	100.20573379614585	100.09817787672593
1987-12-31	99.86720929249825	100.18950758760747	99.83102307539217
1988-12-31	99.6574115382877	100.0730295892554	99.6155971616153
1989-12-31	99.87707003787581	99.88075892196657	99.31242756746089
1990-12-31	99.70072394509599	100.12158891399434	100.14585365400295
1991-12-31	100.02412460118684	99.87066660873849	100.13906842609849
1992-12-31	99.69937013630467	99.9587144928853	100.12466830756011
1993-12-31	100.3898317591885	99.73406851228201	99.77115022341304
1994-12-31	99.58457287248092	99.57753845971985	99.40764072967032
1995-12-31	99.77439704851862	99.71662702167954	99.29936779575031
1996-12-31	99.9422168156993	99.6311443072642	99.11784790687624
1997-12-31	99.76091768655998	99.61902371231228	99.18385724750924
1998-12-31	99.79101184737925	100.39239445039175	99.91668357390095
1999-12-31	99.85928394414059	99.63076010934833	99.21427282710484
2000-12-31	99.75673694820118	99.6706024884672	99.62941004928844
2001-12-31	99.8163226425791	100.42369317599093	101.00290791847787
2002-12-31	99.89721357988954	100.13546091382585	100.42176794445834
2003-12-31	99.62376224924266	100.44472736349046	100.40214891822536
2004-12-31	99.52376109818358	99.47595717484545	99.48243520810225
2005-12-31	100.25305536370244	99.54121086964324	98.99539329305503
2006-12-31	100.16130829461845	99.68143780082056	98.90312430621094
2007-12-31	100.2953010357416	100.16229484717883	99.21355415755971
2008-12-31	100.0428712535463	100.45190738938703	100.68682681807574
2009-12-31	100.01681562643607	100.36282943791639	100.3536591443638
2010-12-31	99.96754205252795	100.80245339027913	100.89083347232713
2011-12-31	100.25223789533953	100.7063446690348	101.13047773774866
2012-12-31	100.69742547696029	100.57103221798512	101.14590462546687
2013-12-31	100.75552630993411	100.18146969683717	100.65171679771801
2014-12-31	100.92494297666315	99.8065078444588	99.52852257961302
2015-12-31	100.47682847371159	99.6813055997195	100.03401459990715
2016-12-31	100.23876923441988	99.84452674227317	100.8286812111486
2017-12-31	100.15168820104357	99.53718241397739	100.76121593887268
2018-12-31	99.26281422873551	99.76370310112411	101.04223155061511
